,Proportions,Returns,Accuracy,Precision,Best_Params,Deployed_Capital,Returned_Capital,36 Month Returns,36 Month Deployed Capital,36 Month Returned Capital,60 Month Returns,60 Month Deployed Capital,60 Month Returned Capital,model
0,0.025,8.0,0.19751985580260753,1.0,"{'C': 0.05, 'penalty': 'l1'}",208550.0,225252.08300000004,8.01,208550.0,225252.08300000004,,0.0,0.0,LogisticRegression
1,0.030000000000000002,7.2,0.19754533237371583,1.0,"{'C': 0.05, 'penalty': 'l1'}",307200.0,329256.348,7.18,307200.0,329256.348,,0.0,0.0,LogisticRegression
2,0.035,8.7,0.1976026546587095,1.0,"{'C': 0.05, 'penalty': 'l1'}",520750.0,565880.701,8.67,520750.0,565880.701,,0.0,0.0,LogisticRegression
3,0.04000000000000001,8.9,0.197647238658149,1.0,"{'C': 0.55, 'penalty': 'l1'}",695325.0,757081.8999999999,8.88,695325.0,757081.8999999999,,0.0,0.0,LogisticRegression
4,0.045000000000000005,8.9,0.19766634608648023,1.0,"{'C': 0.05, 'penalty': 'l1'}",743900.0,809855.2839999998,8.87,743900.0,809855.2839999998,,0.0,0.0,LogisticRegression
5,0.05,8.8,0.1976981918003656,1.0,"{'C': 0.05, 'penalty': 'l1'}",844200.0,918319.148,8.78,844200.0,918319.148,,0.0,0.0,LogisticRegression
6,0.05500000000000001,8.6,0.19776188322813631,1.0,"{'C': 0.1, 'penalty': 'l1'}",1031550.0,1119956.406,8.57,1031550.0,1119956.406,,0.0,0.0,LogisticRegression
7,0.060000000000000005,8.4,0.1978637895125695,1.0,"{'C': 0.1, 'penalty': 'l1'}",1405075.0,1523135.296,8.4,1405075.0,1523135.296,,0.0,0.0,LogisticRegression
8,0.065,6.2,0.19799117236811098,0.9880952380952381,"{'C': 0.2, 'penalty': 'l1'}",1864825.0,1980674.5089999996,6.21,1864825.0,1980674.5089999996,,0.0,0.0,LogisticRegression
9,0.07,6.5,0.19820772322253147,0.9915254237288136,"{'C': 0.05, 'penalty': 'l1'}",2398375.0,2553715.074,6.48,2368375.0,2521827.354,6.29,30000.0,31887.72,LogisticRegression
10,0.07500000000000001,6.8,0.19836695179195832,0.993006993006993,"{'C': 0.05, 'penalty': 'l1'}",2921375.0,3119290.2139999997,6.78,2891375.0,3087402.4939999995,6.29,30000.0,31887.72,LogisticRegression
11,0.08000000000000002,6.6,0.19855165693249346,0.9885057471264368,"{'C': 0.05, 'penalty': 'l1'}",3450300.0,3677253.4420000003,6.58,3420300.0,3645365.722,6.29,30000.0,31887.72,LogisticRegression
12,0.08500000000000002,7.0,0.199029342640774,0.9841897233201581,"{'C': 0.05, 'penalty': 'l1'}",4615025.0,4936199.862000002,6.75,4523025.0,4828107.200000001,17.49,92000.0,108092.66200000001,LogisticRegression
13,0.09000000000000002,7.0,0.1996025654907106,0.9883381924198251,"{'C': 0.1, 'penalty': 'l1'}",5975175.0,6390988.327000004,6.71,5798175.0,6186992.498000004,15.25,177000.0,203995.829,LogisticRegression
14,0.095,7.1,0.20014394262676186,0.9883720930232558,"{'C': 0.05, 'penalty': 'l1'}",7217775.0,7732431.605000004,6.84,7000775.0,7479668.296000004,16.48,217000.0,252763.309,LogisticRegression
15,0.1,6.9,0.20084454833223997,0.9835766423357665,"{'C': 0.05, 'penalty': 'l1'}",8785775.0,9392660.694000004,6.68,8528775.0,9098287.019000003,14.54,257000.0,294373.675,LogisticRegression
16,0.10500000000000001,6.8,0.20174259746380735,0.9799713876967096,"{'C': 0.15000000000000002, 'penalty': 'l1'}",10923075.0,11666538.931,6.63,10639075.0,11344347.406,13.45,284000.0,322191.52499999997,LogisticRegression
17,0.11000000000000001,6.7,0.20249415631150203,0.9781818181818182,"{'C': 0.15000000000000002, 'penalty': 'l1'}",12496150.0,13328702.527999999,6.5,12212150.0,13006511.002999999,13.45,284000.0,322191.52499999997,LogisticRegression
18,0.11500000000000002,6.6,0.20362786372582115,0.979187314172448,"{'C': 0.05, 'penalty': 'l1'}",15042725.0,16040959.140999986,6.47,14681725.0,15632185.861999987,13.23,361000.0,408773.2789999999,LogisticRegression
19,0.12000000000000002,6.7,0.20495264542345246,0.9819524200164069,"{'C': 0.05, 'penalty': 'l1'}",17731700.0,18917316.174000002,6.55,17370700.0,18508542.895000003,13.23,361000.0,408773.2789999999,LogisticRegression
20,0.12500000000000003,6.6,0.20642391740495647,0.9808481532147743,"{'C': 0.05, 'penalty': 'l1'}",21067375.0,22466310.305000022,6.52,20653375.0,22000077.77900002,12.62,414000.0,466232.526,LogisticRegression
21,0.13000000000000003,6.6,0.207767806530919,0.9798219584569733,"{'C': 0.2, 'penalty': 'l1'}",23905475.0,25486413.38000005,6.51,23491475.0,25020180.85400005,12.62,414000.0,466232.526,LogisticRegression
22,0.135,6.6,0.2093409847968562,0.9809081527347782,"{'C': 0.45, 'penalty': 'l1'}",27458650.0,29264467.693000026,6.45,27014650.0,28757150.488000028,14.26,444000.0,507317.205,LogisticRegression
23,0.14,6.5,0.21069761220837288,0.9792339640055376,"{'C': 0.3, 'penalty': 'l1'}",30683700.0,32678618.13200004,6.39,30223700.0,32153801.66200004,14.09,460000.0,524816.4700000001,LogisticRegression
24,0.14500000000000002,6.5,0.21225168304597883,0.975809758097581,"{'C': 0.05, 'penalty': 'l1'}",34639175.0,36875987.52600004,6.32,34064975.0,36216207.55200004,14.9,574200.0,659779.974,LogisticRegression
25,0.15000000000000002,6.5,0.21400956645245117,0.9761642830949762,"{'C': 0.05, 'penalty': 'l1'}",38372525.0,40873259.90099998,6.38,37754325.0,40162001.090999976,15.05,618200.0,711258.8099999999,LogisticRegression
26,0.15500000000000003,6.5,0.21560185214671956,0.974025974025974,"{'C': 0.05, 'penalty': 'l1'}",42026225.0,44753053.77999995,6.38,41340025.0,43979178.61099995,12.78,686200.0,773875.169,LogisticRegression
27,0.16000000000000003,6.4,0.21748074926595629,0.9726233453670277,"{'C': 0.2, 'penalty': 'l1'}",46443200.0,49435569.62599983,6.35,45678025.0,48577465.27999983,12.14,765175.0,858104.346,LogisticRegression
28,0.165,6.4,0.21929595495742227,0.9711300522408578,"{'C': 0.05, 'penalty': 'l1'}",50607100.0,53841711.296999775,6.29,49788125.0,52920940.531999774,12.43,818975.0,920770.765,LogisticRegression
29,0.17,6.4,0.22163979949938536,0.9693297056641108,"{'C': 0.45, 'penalty': 'l1'}",56364250.0,59973535.714999825,6.33,55444275.0,58952445.90799982,10.99,919975.0,1021089.807,LogisticRegression
30,0.17500000000000002,6.4,0.22372250918748846,0.9684090909090909,"{'C': 0.05, 'penalty': 'l1'}",61282000.0,65184219.44799979,6.29,60248625.0,64040751.55199979,10.65,1033375.0,1143467.8960000002,LogisticRegression
31,0.18000000000000002,6.4,0.22621284401332425,0.9676683937823835,"{'C': 0.55, 'penalty': 'l1'}",66963025.0,71251031.94099987,6.34,65858650.0,70035963.89299987,10.02,1104375.0,1215068.0480000004,LogisticRegression
32,0.18500000000000003,6.4,0.22839109084308343,0.9665577551412646,"{'C': 0.55, 'penalty': 'l1'}",71879050.0,76471713.37399992,6.32,70685825.0,75152692.90499993,10.54,1193225.0,1319020.469,LogisticRegression
33,0.19000000000000003,6.4,0.23118714452221875,0.9660211267605634,"{'C': 0.55, 'penalty': 'l1'}",78417175.0,83466322.31599991,6.37,77141425.0,82051634.3139999,10.89,1275750.0,1414688.002,LogisticRegression
34,0.19500000000000003,6.5,0.23413605762800385,0.966456003889159,"{'C': 0.35000000000000003, 'penalty': 'l1'}",84841350.0,90325714.39499979,6.39,83465600.0,88800918.10299979,10.83,1375750.0,1524796.2920000001,LogisticRegression
0,0.025,,0.19746890266039094,0.0,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",0.0,0.0,,0.0,0.0,,0.0,0.0,RandomForestClassifier
1,0.030000000000000002,,0.19746890266039094,0.0,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",0.0,0.0,,0.0,0.0,,0.0,0.0,RandomForestClassifier
2,0.035,,0.19746890266039094,0.0,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",0.0,0.0,,0.0,0.0,,0.0,0.0,RandomForestClassifier
3,0.04000000000000001,,0.19746890266039094,0.0,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",0.0,0.0,,0.0,0.0,,0.0,0.0,RandomForestClassifier
4,0.045000000000000005,9.0,0.197475271803168,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",28000.0,30527.564,9.03,28000.0,30527.564,,0.0,0.0,RandomForestClassifier
5,0.05,,0.19746890266039094,0.0,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",0.0,0.0,,0.0,0.0,,0.0,0.0,RandomForestClassifier
6,0.05500000000000001,11.6,0.19748164094594509,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",80000.0,89262.26800000001,1.24,40000.0,40494.788,21.92,40000.0,48767.48,RandomForestClassifier
7,0.060000000000000005,4.4,0.19748164094594509,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",49575.0,51778.178,4.44,49575.0,51778.178,,0.0,0.0,RandomForestClassifier
8,0.065,17.2,0.19749437923149923,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",111000.0,130119.124,7.76,36000.0,38792.504,21.77,75000.0,91326.62,RandomForestClassifier
9,0.07,6.1,0.19748801008872216,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",77575.0,82305.742,6.1,77575.0,82305.742,,0.0,0.0,RandomForestClassifier
10,0.07500000000000001,12.4,0.19751348665983046,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",172225.0,193510.55800000002,9.47,132225.0,144743.078,21.92,40000.0,48767.48,RandomForestClassifier
11,0.08000000000000002,16.6,0.19748164094594509,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",68000.0,79295.044,9.03,28000.0,30527.564,21.92,40000.0,48767.48,RandomForestClassifier
12,0.08500000000000002,7.3,0.19749437923149923,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",138000.0,148079.21399999998,7.3,138000.0,148079.21399999998,,0.0,0.0,RandomForestClassifier
13,0.09000000000000002,10.5,0.197475271803168,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",40000.0,44191.297,10.48,40000.0,44191.297,,0.0,0.0,RandomForestClassifier
14,0.095,7.5,0.1975007483742763,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",163650.0,175875.761,7.47,163650.0,175875.761,,0.0,0.0,RandomForestClassifier
15,0.1,9.0,0.197475271803168,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",28000.0,30527.564,9.03,28000.0,30527.564,,0.0,0.0,RandomForestClassifier
16,0.10500000000000001,6.6,0.19749437923149923,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",94525.0,100722.69399999999,6.56,94525.0,100722.69399999999,,0.0,0.0,RandomForestClassifier
17,0.11000000000000001,10.8,0.19749437923149923,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",135650.0,150328.962,6.18,95650.0,101561.48199999999,21.92,40000.0,48767.48,RandomForestClassifier
18,0.11500000000000002,7.4,0.19753896323093875,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",205725.0,220989.052,7.42,205725.0,220989.052,,0.0,0.0,RandomForestClassifier
19,0.12000000000000002,11.1,0.19751985580260753,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",243000.0,269998.56399999995,8.98,203000.0,221231.08399999997,21.92,40000.0,48767.48,RandomForestClassifier
20,0.12500000000000003,5.7,0.19749437923149923,1.0,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",113000.0,119417.004,5.68,113000.0,119417.004,,0.0,0.0,RandomForestClassifier
21,0.13000000000000003,10.3,0.1975262249453846,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",256650.0,283074.931,8.15,216650.0,234307.451,21.92,40000.0,48767.48,RandomForestClassifier
22,0.135,5.3,0.20029680205341163,0.9723404255319149,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",5558425.0,5852289.624999994,5.3,5508925.0,5800727.8469999945,4.17,49500.0,51561.778000000006,RandomForestClassifier
23,0.14,6.6,0.19815040093753783,0.9908256880733946,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",1483950.0,1581710.172,6.59,1453950.0,1549822.452,6.29,30000.0,31887.72,RandomForestClassifier
24,0.14500000000000002,0.9,0.19785105122701535,0.9545454545454546,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",875100.0,883137.4270000001,0.92,875100.0,883137.4270000001,,0.0,0.0,RandomForestClassifier
25,0.15000000000000002,7.4,0.19898475864133447,0.9958333333333333,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",2726200.0,2927830.1250000023,6.93,2604200.0,2784670.749000002,17.34,122000.0,143159.37600000002,RandomForestClassifier
26,0.15500000000000003,9.9,0.1977427757998051,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",464375.0,510426.05500000005,8.18,408375.0,441777.14900000003,22.59,56000.0,68648.906,RandomForestClassifier
27,0.16000000000000003,7.0,0.2002776946250804,0.9867549668874173,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",5445950.0,5827226.211999995,6.78,5196550.0,5549091.3699999945,11.52,249400.0,278134.84199999995,RandomForestClassifier
28,0.165,4.9,0.19838605922028954,0.98,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",2120550.0,2225231.4660000014,4.84,2103750.0,2205511.5860000015,17.38,16800.0,19719.88,RandomForestClassifier
29,0.17,6.0,0.2048698465673505,0.9825581395348837,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",13594750.0,14408383.530000025,5.84,13225675.0,13997682.687000025,11.28,369075.0,410700.843,RandomForestClassifier
30,0.17500000000000002,6.0,0.19950065920627744,0.973293768545994,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",4411275.0,4676674.164999997,5.76,4300275.0,4548047.443999997,15.88,111000.0,128626.72100000002,RandomForestClassifier
31,0.18000000000000002,6.6,0.2020674237454381,0.9865229110512129,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",7873975.0,8390639.538999995,6.33,7610900.0,8092970.931999994,13.15,263075.0,297668.607,RandomForestClassifier
32,0.18500000000000003,5.2,0.20352595744138796,0.9721946375372393,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",11167300.0,11750516.397000005,5.09,10935300.0,11491517.310000006,11.64,232000.0,258999.087,RandomForestClassifier
33,0.19000000000000003,6.0,0.20576789569891787,0.9758948137326515,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",15499575.0,16433641.599000018,5.85,15009875.0,15888279.335000018,11.37,489700.0,545362.264,RandomForestClassifier
34,0.19500000000000003,6.4,0.2103345710700797,0.9804947668886774,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",26155500.0,27841532.21100002,6.32,25487200.0,27098447.355000023,11.19,668300.0,743084.856,RandomForestClassifier
